image_filename,recipe_name,category,confidence,notes
page001_img01.jpeg,Cover/Title Page,N/A,high,Lulu Sweets logo - cupcake illustration with bird on top
page005_img01.jpeg,Chocolate Cake,Cakes,high,Chocolate layer cake with chocolate buttercream rosettes on top; matches Chocolate Cake recipe on ~p5
page006_img01.jpeg,Funfetti Cake,Cakes,high,Pink/red petal-frosted cake with rainbow sprinkles; matches Funfetti Cake recipe on ~p6
page007_img01.jpeg,Red Velvet Cake,Cakes,high,Cream-frosted cake with chocolate drip and red velvet crumbs at base and top; matches Red Velvet on ~p7
page009_img01.jpeg,Almond Cake,Cakes,high,White/cream cake with piped buttercream roses; matches Almond Cake recipe on ~p9
page010_img01.jpeg,Creme Brulee Cake,Cakes,high,Cross-section showing white cake layers with custard filling and graham cracker crust layers; matches Creme Brulee Cake on ~p10
page012_img01.jpeg,Pistachio Cake,Cakes,high,Green-tinted naked/semi-naked cake with fresh flowers; pistachio-colored layers visible; matches Pistachio Cake on ~p12
page013_img01.jpeg,Pecan Cake,Cakes,high,Caramel/yellow buttercream cake with chopped pecans at base and top; matches Pecan Cake on ~p13
page016_img01.jpeg,Champagne Cake,Cakes,high,Semi-naked cake with fresh flowers (rose and daisies); elegant style matches Champagne Cake on ~p16
page020_img01.jpeg,Yellow Cupcakes,Cupcakes,high,Yellow cupcakes with chocolate buttercream and chocolate filling visible in cross-section; matches Yellow Cupcakes on ~p20
page021_img01.png,Funfetti Cupcakes,Cupcakes,high,Cupcakes with rainbow-swirled frosting; matches Funfetti Cupcakes on ~p21
page023_img01.jpeg,Red Velvet Cupcakes,Cupcakes,high,Dark red velvet cupcakes with cream cheese buttercream piped on top; matches Red Velvet Cupcakes on ~p23
page024_img01.jpeg,Banana Cupcakes,Cupcakes,high,Cupcakes with caramel/brown butter colored frosting piped as roses; matches Banana Cupcakes on ~p24
page025_img01.jpeg,Matcha Cupcakes,Cupcakes,high,Dark green cupcakes with white frosting dusted with matcha powder; matches Matcha Cupcakes on ~p25
page026_img01.jpeg,Coconut Cupcakes,Cupcakes,high,Cupcakes with white frosting topped with toasted coconut flakes; matches Coconut Cupcakes on ~p26
